암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM2MSMkMSMkMiMkMTMkMzgxNzAyIzExIyQxIyQzIyQ4OSQzNjE4MzIjODEjJDEjJDIjJDgz,365경희사대한의원,한의원,인천광역시,서구,"인천광역시 서구 고산후로 222, 푸리마더타워 401~403호 (불로동)",한방,2025-08-25
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQxIyQ3IyQ3OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,365경희성심한의원,한의원,경기도,부천시 원미구,"경기도 부천시 원미구 길주로 195, 금영프라자2차 302호 (중동)",한방,2007-09-05
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz,365경희스마일한의원,한의원,경기도,광명시,"경기도 광명시 범안로 1050, 405호 (하안동)",한방,2011-04-25
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,365경희제일한의원,한의원,서울특별시,강동구,"서울특별시 강동구 양재대로 1349, 3층 (성내동)",한방,2024-02-22
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz,365경희준한의원,한의원,경기도,안산시 상록구,"경기도 안산시 상록구 해양5로 11, 그랑시티자이2차상가동 229~230호 (사동)",한방,2020-11-26
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQzIyQwMyQyNjE4MzIjNjEjJDEjJDgjJDgz,365경희철산한의원,한의원,경기도,광명시,"경기도 광명시 오리로 835, 103호 (철산동)",한방,2021-05-06
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQxIyQ3IyQwMyQyNjEyMjIjNTEjJDEjJDIjJDgz,365경희최선한의원,한의원,경기도,하남시,"경기도 하남시 대청로 91, 2층 일부호 (신장동)",한방,2024-12-31
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQ4OSQzNjE4MzIjNjEjJDEjJDQjJDgz,365경희한의원,한의원,서울특별시,강서구,"서울특별시 강서구 등촌로 3, 부경빌딩 302층 (화곡동)",한방,2019-04-03
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz,365경희한의원,한의원,충청남도,천안시 서북구,"충청남도 천안시 서북구 불당22대로 67, 강남프라자 5층 502호 (불당동)",한방,2018-08-16
JDU4MTI3MSM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ5MiQyNjEwMDIjNTEjJDEjJDIjJDgz,365경희한의원,한의원,경기도,광주시,"경기도 광주시 광주대로 35, 4,7층 (경안동)",한방,2015-07-16
JDU4MTI3MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz,365고려본재활의학과의원,의원,경기도,파주시,"경기도 파주시 해올2길 8, 305호~309호 (다율동)",재활의학과,2025-08-28
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjEyMjIjNjEjJDEjJDQjJDgz,365고운약국,약국,서울특별시,서초구,"서울특별시 서초구 서초중앙로22길 25, 118호 (서초동, 서초리시온)",해당사항없음,2024-02-29
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,365공릉차한의원,한의원,서울특별시,노원구,"서울특별시 노원구 동일로 1098, 지하1층, 지상3층 (공릉동)",한방,2023-12-20
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ3MiQyNjEwMDIjNDEjJDEjJDQjJDgz,365광장속내과의원,의원,대구광역시,수성구,"대구광역시 수성구 신매로19길 46, 3층 (신매동)",내과,2024-09-11
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,365광주제일큰약국,약국,광주광역시,서구,"광주광역시 서구 상무대로 879, 두왕빌딩 1층 (쌍촌동)",해당사항없음,2025-09-08
